1	по мере того как	1	3
2	одной и той же	1	3
3	в то же время	7	3
4	дело в том что	1	2
5	все более и более	1	2
6	одного и того же	1	2
7	не в том что	1	2
8	между предшествующим и последующим	1	1
9	мере того как мы	1	1
10	чтобы убедиться в этом	1	1
11	чтобы она могла стать	1	1
12	языка и его форм	1	1
13	бы то ни было	4	1
14	это нисколько не противоречит	1	1
15	и его форм в	1	1
16	так а не иначе	1	1
17	то же время не	1	1
18	с другой стороны и	1	1
19	с этой точки зрения	1	1
20	как бы ни были	1	1
21	к одной и той	1	1
